ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Potter County, SD",9.2,2207,Potter County,South Dakota,SD,376.0
"Potter County, TX",160.9999999999999,113837,Potter County,Texas,TX,17706.0
"Powder River County, MT",9.2,1716,Powder River County,Montana,MT,252.0
"Powell County, KY",13.799999999999999,12333,Powell County,Kentucky,KY,1492.0
"Powell County, MT",13.799999999999999,5331,Powell County,Montana,MT,252.0
"Power County, ID",13.799999999999999,7748,Power County,Idaho,ID,571.0
"Poweshiek County, IA",27.6,17161,Poweshiek County,Iowa,IA,1638.0
"Powhatan County, VA",27.6,28105,Powhatan County,Virginia,VA,3466.0
"Prairie County, AR",18.4,8058,Prairie County,Arkansas,AR,1622.0
"Prairie County, MT",9.2,1087,Prairie County,Montana,MT,252.0
"Pratt County, KS",18.4,9145,Pratt County,Kansas,KS,962.0
"Preble County, OH",59.80000000000001,40899,Preble County,Ohio,OH,4890.0
"Prentiss County, MS",27.6,24571,Prentiss County,Mississippi,MS,3124.0
"Presidio County, TX",13.799999999999999,6948,Presidio County,Texas,TX,17706.0
"Presque Isle County, MI",36.800000000000004,12702,Presque Isle County,Michigan,MI,6581.0
"Preston County, WV",41.400000000000006,32002,Preston County,West Virginia,WV,352.0
"Price County, WI",32.2,13371,Price County,Wisconsin,WI,1675.0
"Prince Edward County, VA",27.6,19184,Prince Edward County,Virginia,VA,3466.0
"Prince George County, VA",36.800000000000004,34128,Prince George County,Virginia,VA,3466.0
"Prince George's County, MD",1007.4000000000035,893877,Prince George's County,Maryland,MD,4427.0
"Prince William County, VA",386.40000000000043,466784,Prince William County,Virginia,VA,3466.0
"Prince of Wales-Hyder Census Area, AK",23.0,6422,Prince of Wales-Hyder Census Area,Alaska,AK,55.0
"Providence County, RI",653.2000000000018,617222,Providence County,Rhode Island,RI,1124.0
"Prowers County, CO",27.6,11935,Prowers County,Colorado,CO,2094.0
"Pueblo County, CO",257.5999999999998,164998,Pueblo County,Colorado,CO,2094.0
"Pulaski County, AR",441.6000000000007,388497,Pulaski County,Arkansas,AR,1622.0
"Pulaski County, GA",18.4,10017,Pulaski County,Georgia,GA,6746.0
"Pulaski County, IL",13.799999999999999,5457,Pulaski County,Illinois,IL,8459.0
"Pulaski County, IN",23.0,12352,Pulaski County,Indiana,IN,4116.0
"Pulaski County, KY",69.0,64330,Pulaski County,Kentucky,KY,1492.0
"Pulaski County, MO",46.00000000000001,51960,Pulaski County,Missouri,MO,2814.0
"Pulaski County, VA",50.60000000000001,33241,Pulaski County,Virginia,VA,3466.0
"Pushmataha County, OK",18.4,11166,Pushmataha County,Oklahoma,OK,1418.0
"Putnam County, FL",82.79999999999998,73328,Putnam County,Florida,FL,16059.0
"Putnam County, GA",27.6,21735,Putnam County,Georgia,GA,6746.0
"Putnam County, IL",13.799999999999999,5738,Putnam County,Illinois,IL,8459.0
"Putnam County, IN",36.800000000000004,33109,Putnam County,Indiana,IN,4116.0
"Putnam County, MO",13.799999999999999,4757,Putnam County,Missouri,MO,2814.0
"Putnam County, NY",91.99999999999997,97628,Putnam County,New York,NY,11847.0
"Putnam County, OH",36.800000000000004,33780,Putnam County,Ohio,OH,4890.0
"Putnam County, TN",73.6,76826,Putnam County,Tennessee,TN,2959.0
"Putnam County, WV",50.60000000000001,56682,Putnam County,West Virginia,WV,352.0
"Quay County, NM",18.4,8231,Quay County,New Mexico,NM,854.0
"Queen Anne's County, MD",69.0,49983,Queen Anne's County,Maryland,MD,4427.0
"Queens County, NY",3081.999999999963,2274711,Queens County,New York,NY,11847.0
"Quitman County, GA",9.2,2279,Quitman County,Georgia,GA,6746.0
"Quitman County, MS",18.4,6996,Quitman County,Mississippi,MS,3124.0
"Rabun County, GA",27.6,16733,Rabun County,Georgia,GA,6746.0
"Racine County, WI",211.59999999999982,193256,Racine County,Wisconsin,WI,1675.0
"Radford city, VA",18.4,14957,Radford city,Virginia,VA,3466.0
"Rains County, TX",13.799999999999999,12134,Rains County,Texas,TX,17706.0
"Raleigh County, WV",82.79999999999998,71229,Raleigh County,West Virginia,WV,352.0
"Ralls County, MO",18.4,10212,Ralls County,Missouri,MO,2814.0
"Ramsey County, MN",634.8000000000017,539885,Ramsey County,Minnesota,MN,2289.0
"Ramsey County, ND",18.4,11249,Ramsey County,North Dakota,ND,375.0
"Randall County, TX",137.99999999999991,134116,Randall County,Texas,TX,17706.0
"Randolph County, AL",32.2,22491,Randolph County,Alabama,AL,3770.0
"Randolph County, AR",23.0,17819,Randolph County,Arkansas,AR,1622.0
"Randolph County, GA",13.799999999999999,6609,Randolph County,Georgia,GA,6746.0
"Randolph County, IL",46.00000000000001,28551,Randolph County,Illinois,IL,8459.0
"Randolph County, IN",41.400000000000006,24751,Randolph County,Indiana,IN,4116.0
"Randolph County, MO",32.2,22892,Randolph County,Missouri,MO,2814.0
"Randolph County, NC",133.39999999999992,142898,Randolph County,North Carolina,NC,2731.0
"Randolph County, WV",36.800000000000004,26904,Randolph County,West Virginia,WV,352.0
"Rankin County, MS",128.79999999999993,149906,Rankin County,Mississippi,MS,3124.0
"Ransom County, ND",18.4,5237,Ransom County,North Dakota,ND,375.0
"Rapides Parish, LA",156.3999999999999,128457,Rapides Parish,Louisiana,LA,5194.0
"Rappahannock County, VA",13.799999999999999,7225,Rappahannock County,Virginia,VA,3466.0
"Ravalli County, MT",50.60000000000001,43117,Ravalli County,Montana,MT,252.0
"Rawlins County, KS",9.2,2508,Rawlins County,Kansas,KS,962.0
"Ray County, MO",23.0,22802,Ray County,Missouri,MO,2814.0
"Reagan County, TX",9.2,3741,Reagan County,Texas,TX,17706.0
"Real County, TX",9.2,3478,Real County,Texas,TX,17706.0
"Red Lake County, MN",13.799999999999999,3999,Red Lake County,Minnesota,MN,2289.0
"Red River County, TX",23.0,12147,Red River County,Texas,TX,17706.0
"Red River Parish, LA",13.799999999999999,8402,Red River Parish,Louisiana,LA,5194.0
"Red Willow County, NE",18.4,10402,Red Willow County,Nebraska,NE,636.0
"Redwood County, MN",32.2,15231,Redwood County,Minnesota,MN,2289.0
"Reeves County, TX",27.6,12637,Reeves County,Texas,TX,17706.0
"Refugio County, TX",13.799999999999999,7007,Refugio County,Texas,TX,17706.0
"Reno County, KS",82.79999999999998,60016,Reno County,Kansas,KS,962.0
"Rensselaer County, NY",197.79999999999984,155314,Rensselaer County,New York,NY,11847.0
"Renville County, MN",32.2,14576,Renville County,Minnesota,MN,2289.0
"Renville County, ND",9.2,2374,Renville County,North Dakota,ND,375.0
"Republic County, KS",18.4,4664,Republic County,Kansas,KS,962.0
"Reynolds County, MO",13.799999999999999,6200,Reynolds County,Missouri,MO,2814.0
"Rhea County, TN",32.2,32497,Rhea County,Tennessee,TN,2959.0
"Rice County, KS",18.4,9014,Rice County,Kansas,KS,962.0
"Rice County, MN",64.4,59924,Rice County,Minnesota,MN,2289.0
"Rich County, UT",9.2,2463,Rich County,Utah,UT,582.0
"Richardson County, NE",18.4,7931,Richardson County,Nebraska,NE,636.0
"Richland County, IL",27.6,15734,Richland County,Illinois,IL,8459.0
"Richland County, MT",23.0,10913,Richland County,Montana,MT,252.0
"Richland County, ND",32.2,15468,Richland County,North Dakota,ND,375.0
"Richland County, OH",142.5999999999999,115344,Richland County,Ohio,OH,4890.0
"Richland County, SC",414.00000000000057,397702,Richland County,South Carolina,SC,3620.0
"Richland County, WI",27.6,17286,Richland County,Wisconsin,WI,1675.0
"Richland Parish, LA",32.2,19486,Richland Parish,Louisiana,LA,5194.0
"Richmond County, GA",220.7999999999998,197415,Richmond County,Georgia,GA,6746.0
"Richmond County, NC",55.20000000000001,44054,Richmond County,North Carolina,NC,2731.0
"Richmond County, NY",510.60000000000105,474297,Richmond County,New York,NY,11847.0
"Richmond County, VA",13.799999999999999,7508,Richmond County,Virginia,VA,3466.0
"Richmond city, VA",308.20000000000005,219229,Richmond city,Virginia,VA,3466.0
"Riley County, KS",69.0,68137,Riley County,Kansas,KS,962.0
"Ringgold County, IA",13.799999999999999,4967,Ringgold County,Iowa,IA,1638.0
"Rio Arriba County, NM",46.00000000000001,38851,Rio Arriba County,New Mexico,NM,854.0
"Rio Blanco County, CO",13.799999999999999,6099,Rio Blanco County,Colorado,CO,2094.0
"Rio Grande County, CO",18.4,11219,Rio Grande County,Colorado,CO,2094.0
"Ripley County, IN",32.2,28441,Ripley County,Indiana,IN,4116.0
"Ripley County, MO",23.0,13401,Ripley County,Missouri,MO,2814.0
"Ritchie County, WV",18.4,9721,Ritchie County,West Virginia,WV,352.0
"Riverside County, CA",2088.399999999983,2428954,Riverside County,California,CA,16663.0
"Roane County, TN",55.20000000000001,53004,Roane County,Tennessee,TN,2959.0
"Roane County, WV",23.0,13932,Roane County,West Virginia,WV,352.0
"Roanoke County, VA",87.39999999999998,92727,Roanoke County,Virginia,VA,3466.0
"Roanoke city, VA",110.39999999999995,99284,Roanoke city,Virginia,VA,3466.0
"Roberts County, SD",23.0,10405,Roberts County,South Dakota,SD,376.0
"Roberts County, TX",9.2,903,Roberts County,Texas,TX,17706.0
"Robertson County, KY",9.2,2135,Robertson County,Kentucky,KY,1492.0
"Robertson County, TN",69.0,70733,Robertson County,Tennessee,TN,2959.0
"Robertson County, TX",27.6,17237,Robertson County,Texas,TX,17706.0
"Robeson County, NC",147.1999999999999,128515,Robeson County,North Carolina,NC,2731.0
"Rock County, MN",18.4,9384,Rock County,Minnesota,MN,2289.0
"Rock County, NE",9.2,1360,Rock County,Nebraska,NE,636.0
"Rock County, WI",179.39999999999986,161558,Rock County,Wisconsin,WI,1675.0
"Rock Island County, IL",188.59999999999985,140229,Rock Island County,Illinois,IL,8459.0
"Rockbridge County, VA",23.0,22338,Rockbridge County,Virginia,VA,3466.0
"Rockcastle County, KY",23.0,16648,Rockcastle County,Kentucky,KY,1492.0
"Rockdale County, GA",73.6,90126,Rockdale County,Georgia,GA,6746.0
"Rockingham County, NC",101.19999999999996,90536,Rockingham County,North Carolina,NC,2731.0
"Rockingham County, NH",308.20000000000005,308927,Rockingham County,New Hampshire,NH,452.0
"Rockingham County, VA",91.99999999999997,79948,Rockingham County,Virginia,VA,3466.0
"Rockland County, NY",303.6,323751,Rockland County,New York,NY,11847.0
"Rockwall County, TX",55.20000000000001,100490,Rockwall County,Texas,TX,17706.0
"Roger Mills County, OK",9.2,3645,Roger Mills County,Oklahoma,OK,1418.0
"Rogers County, OK",133.39999999999992,91515,Rogers County,Oklahoma,OK,1418.0
"Rolette County, ND",23.0,14264,Rolette County,North Dakota,ND,375.0
"Rooks County, KS",13.799999999999999,5002,Rooks County,Kansas,KS,962.0
"Roosevelt County, MT",18.4,11008,Roosevelt County,Montana,MT,252.0
"Roosevelt County, NM",27.6,17763,Roosevelt County,New Mexico,NM,854.0
"Roscommon County, MI",50.60000000000001,23816,Roscommon County,Michigan,MI,6581.0
"Roseau County, MN",27.6,15134,Roseau County,Minnesota,MN,2289.0
"Rosebud County, MT",23.0,9033,Rosebud County,Montana,MT,252.0
"Ross County, OH",82.79999999999998,71869,Ross County,Ohio,OH,4890.0
"Routt County, CO",41.400000000000006,25521,Routt County,Colorado,CO,2094.0
"Rowan County, KY",23.0,21705,Rowan County,Kentucky,KY,1492.0
"Rowan County, NC",142.5999999999999,138411,Rowan County,North Carolina,NC,2731.0
"Runnels County, TX",23.0,10186,Runnels County,Texas,TX,17706.0
"Rush County, IN",27.6,16620,Rush County,Indiana,IN,4116.0
"Rush County, KS",13.799999999999999,3093,Rush County,Kansas,KS,962.0
"Rusk County, TX",64.4,48696,Rusk County,Texas,TX,17706.0
"Rusk County, WI",27.6,14120,Rusk County,Wisconsin,WI,1675.0
"Russell County, AL",64.4,57490,Russell County,Alabama,AL,3770.0
"Russell County, KS",13.799999999999999,6896,Russell County,Kansas,KS,962.0
"Russell County, KY",27.6,17797,Russell County,Kentucky,KY,1492.0
"Russell County, VA",36.800000000000004,26579,Russell County,Virginia,VA,3466.0
"Rutherford County, NC",64.4,66426,Rutherford County,North Carolina,NC,2731.0
"Rutherford County, TN",229.9999999999998,321069,Rutherford County,Tennessee,TN,2959.0
"Rutland County, VT",96.59999999999997,57024,Rutland County,Vermont,VT,62.0
"Sabine County, TX",18.4,10589,Sabine County,Texas,TX,17706.0
"Sabine Parish, LA",36.800000000000004,23869,Sabine Parish,Louisiana,LA,5194.0
"Sac County, IA",23.0,9712,Sac County,Iowa,IA,1638.0
"Sacramento County, CA",1462.799999999995,1529550,Sacramento County,California,CA,16663.0
"Sagadahoc County, ME",46.00000000000001,35627,Sagadahoc County,Maine,ME,168.0
"Saginaw County, MI",262.1999999999998,186425,Saginaw County,Michigan,MI,6581.0
"Saguache County, CO",13.799999999999999,6825,Saguache County,Colorado,CO,2094.0
"Salem County, NJ",119.59999999999994,62219,Salem County,New Jersey,NJ,14511.0
"Salem city, VA",27.6,24046,Salem city,Virginia,VA,3466.0
"Saline County, AR",101.19999999999996,120829,Saline County,Arkansas,AR,1622.0
"Saline County, IL",46.00000000000001,23544,Saline County,Illinois,IL,8459.0
"Saline County, KS",59.80000000000001,53639,Saline County,Kansas,KS,962.0
"Saline County, MO",41.400000000000006,21956,Saline County,Missouri,MO,2814.0
"Saline County, NE",23.0,13584,Saline County,Nebraska,NE,636.0
"Salt Lake County, UT",979.8000000000034,1143132,Salt Lake County,Utah,UT,582.0
"Saluda County, SC",27.6,20544,Saluda County,South Carolina,SC,3620.0
"Sampson County, NC",55.20000000000001,63157,Sampson County,North Carolina,NC,2731.0
"San Augustine County, TX",18.4,8232,San Augustine County,Texas,TX,17706.0
"San Benito County, CA",55.20000000000001,61510,San Benito County,California,CA,16663.0
"San Bernardino County, CA",1701.9999999999902,2152094,San Bernardino County,California,CA,16663.0
"San Diego County, CA",2893.399999999967,3305079,San Diego County,California,CA,16663.0
"San Francisco County, CA",910.800000000003,873223,San Francisco County,California,CA,16663.0
"San Jacinto County, TX",23.0,28665,San Jacinto County,Texas,TX,17706.0
"San Joaquin County, CA",644.0000000000017,743831,San Joaquin County,California,CA,16663.0
"San Juan County, CO",9.2,762,San Juan County,Colorado,CO,2094.0
"San Juan County, NM",156.3999999999999,124101,San Juan County,New Mexico,NM,854.0
"San Juan County, UT",23.0,15220,San Juan County,Utah,UT,582.0
"San Juan County, WA",27.6,17051,San Juan County,Washington,WA,2056.0
"San Luis Obispo County, CA",252.99999999999977,271007,San Luis Obispo County,California,CA,16663.0
"San Mateo County, CA",731.4000000000021,767507,San Mateo County,California,CA,16663.0
"San Miguel County, CO",23.0,8182,San Miguel County,Colorado,CO,2094.0
"San Miguel County, NM",36.800000000000004,26978,San Miguel County,New Mexico,NM,854.0
"San Patricio County, TX",78.19999999999999,66568,San Patricio County,Texas,TX,17706.0
"San Saba County, TX",13.799999999999999,5448,San Saba County,Texas,TX,17706.0
"Sanborn County, SD",9.2,2429,Sanborn County,South Dakota,SD,376.0
"Sanders County, MT",18.4,11756,Sanders County,Montana,MT,252.0
"Sandoval County, NM",133.39999999999992,144839,Sandoval County,New Mexico,NM,854.0
"Sandusky County, OH",73.6,58702,Sandusky County,Ohio,OH,4890.0
"Sangamon County, IL",248.39999999999978,193695,Sangamon County,Illinois,IL,8459.0
"Sanilac County, MI",64.4,41088,Sanilac County,Michigan,MI,6581.0
"Sanpete County, UT",27.6,27956,Sanpete County,Utah,UT,582.0
"Santa Barbara County, CA",418.6000000000006,430952,Santa Barbara County,California,CA,16663.0
"Santa Clara County, CA",1715.79999999999,1920588,Santa Clara County,California,CA,16663.0
"Santa Cruz County, AZ",50.60000000000001,46353,Santa Cruz County,Arizona,AZ,5227.0
"Santa Cruz County, CA",248.39999999999978,263957,Santa Cruz County,California,CA,16663.0
"Santa Fe County, NM",234.5999999999998,148241,Santa Fe County,New Mexico,NM,854.0
"Santa Rosa County, FL",124.19999999999993,174038,Santa Rosa County,Florida,FL,16059.0
"Sarasota County, FL",441.6000000000007,424202,Sarasota County,Florida,FL,16059.0
"Saratoga County, NY",234.5999999999998,228033,Saratoga County,New York,NY,11847.0
"Sargent County, ND",13.799999999999999,3870,Sargent County,North Dakota,ND,375.0
"Sarpy County, NE",202.39999999999984,184142,Sarpy County,Nebraska,NE,636.0
"Sauk County, WI",64.4,64082,Sauk County,Wisconsin,WI,1675.0
"Saunders County, NE",27.6,21191,Saunders County,Nebraska,NE,636.0
"Sawyer County, WI",32.2,16308,Sawyer County,Wisconsin,WI,1675.0
"Schenectady County, NY",202.39999999999984,153045,Schenectady County,New York,NY,11847.0
"Schleicher County, TX",9.2,2895,Schleicher County,Texas,TX,17706.0
"Schley County, GA",13.799999999999999,5236,Schley County,Georgia,GA,6746.0
"Schoharie County, NY",41.400000000000006,29943,Schoharie County,New York,NY,11847.0
"Schoolcraft County, MI",23.0,8044,Schoolcraft County,Michigan,MI,6581.0
"Schuyler County, IL",18.4,6897,Schuyler County,Illinois,IL,8459.0
"Schuyler County, MO",13.799999999999999,4599,Schuyler County,Missouri,MO,2814.0
"Schuyler County, NY",27.6,17873,Schuyler County,New York,NY,11847.0
"Schuylkill County, PA",188.59999999999985,136906,Schuylkill County,Pennsylvania,PA,8865.0
"Scioto County, OH",96.59999999999997,73300,Scioto County,Ohio,OH,4890.0
"Scotland County, MO",13.799999999999999,4964,Scotland County,Missouri,MO,2814.0
"Scotland County, NC",36.800000000000004,32508,Scotland County,North Carolina,NC,2731.0
"Scott County, AR",18.4,10319,Scott County,Arkansas,AR,1622.0
"Scott County, IA",220.7999999999998,171531,Scott County,Iowa,IA,1638.0
"Scott County, IL",13.799999999999999,4926,Scott County,Illinois,IL,8459.0
"Scott County, IN",27.6,23750,Scott County,Indiana,IN,4116.0
"Scott County, KS",9.2,4878,Scott County,Kansas,KS,962.0
"Scott County, KY",69.0,55108,Scott County,Kentucky,KY,1492.0
"Scott County, MN",101.19999999999996,146654,Scott County,Minnesota,MN,2289.0
"Scott County, MO",50.60000000000001,38358,Scott County,Missouri,MO,2814.0
"Scott County, MS",32.2,28225,Scott County,Mississippi,MS,3124.0
"Scott County, TN",27.6,21929,Scott County,Tennessee,TN,2959.0
"Scott County, VA",32.2,20943,Scott County,Virginia,VA,3466.0
"Scotts Bluff County, NE",55.20000000000001,35664,Scotts Bluff County,Nebraska,NE,636.0
"Screven County, GA",27.6,13608,Screven County,Georgia,GA,6746.0
"Scurry County, TX",23.0,15315,Scurry County,Texas,TX,17706.0
"Searcy County, AR",18.4,7947,Searcy County,Arkansas,AR,1622.0
"Sebastian County, AR",124.19999999999993,126731,Sebastian County,Arkansas,AR,1622.0
"Sedgwick County, CO",9.2,2303,Sedgwick County,Colorado,CO,2094.0
"Sedgwick County, KS",575.0000000000014,510058,Sedgwick County,Kansas,KS,962.0
"Seminole County, FL",400.2000000000005,466890,Seminole County,Florida,FL,16059.0
"Seminole County, GA",18.4,8280,Seminole County,Georgia,GA,6746.0
"Seminole County, OK",46.00000000000001,24324,Seminole County,Oklahoma,OK,1418.0
"Seneca County, NY",50.60000000000001,32012,Seneca County,New York,NY,11847.0
"Seneca County, OH",69.0,53415,Seneca County,Ohio,OH,4890.0
"Sequatchie County, TN",18.4,14797,Sequatchie County,Tennessee,TN,2959.0
"Sequoyah County, OK",46.00000000000001,41047,Sequoyah County,Oklahoma,OK,1418.0
"Sevier County, AR",23.0,17110,Sevier County,Arkansas,AR,1622.0
"Sevier County, TN",87.39999999999998,97352,Sevier County,Tennessee,TN,2959.0
"Sevier County, UT",27.6,21352,Sevier County,Utah,UT,582.0
"Seward County, KS",27.6,21447,Seward County,Kansas,KS,962.0
"Seward County, NE",23.0,16210,Seward County,Nebraska,NE,636.0
"Shackelford County, TX",9.2,3246,Shackelford County,Texas,TX,17706.0
"Shannon County, MO",13.799999999999999,8183,Shannon County,Missouri,MO,2814.0
"Sharkey County, MS",13.799999999999999,4377,Sharkey County,Mississippi,MS,3124.0
"Sharp County, AR",23.0,17341,Sharp County,Arkansas,AR,1622.0
"Shasta County, CA",225.3999999999998,178882,Shasta County,California,CA,16663.0
"Shawano County, WI",55.20000000000001,40539,Shawano County,Wisconsin,WI,1675.0
"Shawnee County, KS",202.39999999999984,175427,Shawnee County,Kansas,KS,962.0
"Sheboygan County, WI",128.79999999999993,113566,Sheboygan County,Wisconsin,WI,1675.0
"Shelby County, AL",225.3999999999998,213851,Shelby County,Alabama,AL,3770.0
"Shelby County, IA",23.0,11571,Shelby County,Iowa,IA,1638.0
"Shelby County, IL",32.2,21733,Shelby County,Illinois,IL,8459.0
"Shelby County, IN",50.60000000000001,44371,Shelby County,Indiana,IN,4116.0
"Shelby County, KY",46.00000000000001,47504,Shelby County,Kentucky,KY,1492.0
"Shelby County, MO",18.4,6010,Shelby County,Missouri,MO,2814.0
"Shelby County, OH",50.60000000000001,48523,Shelby County,Ohio,OH,4890.0
"Shelby County, TN",1021.2000000000036,923778,Shelby County,Tennessee,TN,2959.0
"Shelby County, TX",32.2,25418,Shelby County,Texas,TX,17706.0
"Shenandoah County, VA",46.00000000000001,43406,Shenandoah County,Virginia,VA,3466.0
"Sherburne County, MN",55.20000000000001,94534,Sherburne County,Minnesota,MN,2289.0
"Sheridan County, KS",13.799999999999999,2533,Sheridan County,Kansas,KS,962.0
"Sheridan County, MT",13.799999999999999,3423,Sheridan County,Montana,MT,252.0
"Sheridan County, ND",9.2,1349,Sheridan County,North Dakota,ND,375.0
"Sheridan County, NE",13.799999999999999,5182,Sheridan County,Nebraska,NE,636.0
"Sheridan County, WY",32.2,29649,Sheridan County,Wyoming,WY,59.0
"Sherman County, KS",13.799999999999999,5846,Sherman County,Kansas,KS,962.0
"Sherman County, NE",9.2,3038,Sherman County,Nebraska,NE,636.0
"Sherman County, OR",9.2,1708,Sherman County,Oregon,OR,596.0
"Sherman County, TX",9.2,3076,Sherman County,Texas,TX,17706.0
"Shiawassee County, MI",82.79999999999998,67726,Shiawassee County,Michigan,MI,6581.0
"Shoshone County, ID",18.4,12736,Shoshone County,Idaho,ID,571.0
"Sibley County, MN",23.0,15019,Sibley County,Minnesota,MN,2289.0
"Sierra County, CA",9.2,2987,Sierra County,California,CA,16663.0
"Sierra County, NM",23.0,10917,Sierra County,New Mexico,NM,854.0
"Silver Bow County, MT",41.400000000000006,34373,Silver Bow County,Montana,MT,252.0
"Simpson County, KY",23.0,18331,Simpson County,Kentucky,KY,1492.0
"Simpson County, MS",27.6,26487,Simpson County,Mississippi,MS,3124.0
"Sioux County, IA",36.800000000000004,33039,Sioux County,Iowa,IA,1638.0
"Sioux County, ND",13.799999999999999,4298,Sioux County,North Dakota,ND,375.0
"Sioux County, NE",9.2,1187,Sioux County,Nebraska,NE,636.0
"Siskiyou County, CA",69.0,43379,Siskiyou County,California,CA,16663.0
"Sitka Borough, AK",13.799999999999999,8631,Sitka Borough,Alaska,AK,55.0
"Skagit County, WA",142.5999999999999,127847,Skagit County,Washington,WA,2056.0
"Skagway Municipality, AK",9.2,1148,Skagway Municipality,Alaska,AK,55.0
"Skamania County, WA",27.6,11899,Skamania County,Washington,WA,2056.0
"Slope County, ND",9.2,763,Slope County,North Dakota,ND,375.0
"Smith County, KS",13.799999999999999,3602,Smith County,Kansas,KS,962.0
"Smith County, MS",18.4,16002,Smith County,Mississippi,MS,3124.0
"Smith County, TN",27.6,19903,Smith County,Tennessee,TN,2959.0
"Smith County, TX",193.19999999999985,227028,Smith County,Texas,TX,17706.0
"Smyth County, VA",46.00000000000001,30172,Smyth County,Virginia,VA,3466.0
"Snohomish County, WA",699.200000000002,810891,Snohomish County,Washington,WA,2056.0
"Snyder County, PA",41.400000000000006,38061,Snyder County,Pennsylvania,PA,8865.0
"Socorro County, NM",32.2,16235,Socorro County,New Mexico,NM,854.0
"Solano County, CA",446.2000000000007,438278,Solano County,California,CA,16663.0
"Somerset County, MD",41.400000000000006,20600,Somerset County,Maryland,MD,4427.0
"Somerset County, ME",82.79999999999998,50290,Somerset County,Maine,ME,168.0
"Somerset County, NJ",317.4000000000001,330358,Somerset County,New Jersey,NJ,14511.0
"Somerset County, PA",101.19999999999996,69838,Somerset County,Pennsylvania,PA,8865.0
"Somervell County, TX",13.799999999999999,9011,Somervell County,Texas,TX,17706.0
"Sonoma County, CA",464.6000000000008,495434,Sonoma County,California,CA,16663.0
"Southampton County, VA",27.6,16113,Southampton County,Virginia,VA,3466.0
"Southeast Fairbanks Census Area, AK",13.799999999999999,6918,Southeast Fairbanks Census Area,Alaska,AK,55.0
"Spalding County, GA",59.80000000000001,65325,Spalding County,Georgia,GA,6746.0
"Spartanburg County, SC",322.0000000000001,307995,Spartanburg County,South Carolina,SC,3620.0
"Spencer County, IN",27.6,20267,Spencer County,Indiana,IN,4116.0
"Spencer County, KY",23.0,18794,Spencer County,Kentucky,KY,1492.0
"Spink County, SD",18.4,6344,Spink County,South Dakota,SD,376.0
"Spokane County, WA",487.60000000000093,505937,Spokane County,Washington,WA,2056.0
"Spotsylvania County, VA",142.5999999999999,134238,Spotsylvania County,Virginia,VA,3466.0
"St. Bernard Parish, LA",87.39999999999998,46456,St. Bernard Parish,Louisiana,LA,5194.0
"St. Charles County, MO",368.00000000000034,395425,St. Charles County,Missouri,MO,2814.0
"St. Charles Parish, LA",64.4,52375,St. Charles Parish,Louisiana,LA,5194.0
"St. Clair County, AL",64.4,87443,St. Clair County,Alabama,AL,3770.0
"St. Clair County, IL",280.5999999999999,259709,St. Clair County,Illinois,IL,8459.0
"St. Clair County, MI",234.5999999999998,158903,St. Clair County,Michigan,MI,6581.0
"St. Clair County, MO",18.4,9297,St. Clair County,Missouri,MO,2814.0
"St. Croix County, WI",69.0,89448,St. Croix County,Wisconsin,WI,1675.0
"St. Francis County, AR",32.2,21473,St. Francis County,Arkansas,AR,1622.0
"St. Francois County, MO",55.20000000000001,60931,St. Francois County,Missouri,MO,2814.0
"St. Helena Parish, LA",13.799999999999999,10215,St. Helena Parish,Louisiana,LA,5194.0
"St. James Parish, LA",36.800000000000004,20910,St. James Parish,Louisiana,LA,5194.0
"St. John the Baptist Parish, LA",55.20000000000001,42958,St. John the Baptist Parish,Louisiana,LA,5194.0
"St. Johns County, FL",193.19999999999985,252465,St. Johns County,Florida,FL,16059.0
"St. Joseph County, IN",349.60000000000025,262259,St. Joseph County,Indiana,IN,4116.0
"St. Joseph County, MI",82.79999999999998,60854,St. Joseph County,Michigan,MI,6581.0
"St. Landry Parish, LA",91.99999999999997,82479,St. Landry Parish,Louisiana,LA,5194.0
"St. Lawrence County, NY",133.39999999999992,98629,St. Lawrence County,New York,NY,11847.0
"St. Louis County, MN",312.80000000000007,194311,St. Louis County,Minnesota,MN,2289.0
"St. Louis County, MO",920.0000000000031,988143,St. Louis County,Missouri,MO,2814.0
"St. Louis city, MO",492.20000000000095,296701,St. Louis city,Missouri,MO,2814.0
"St. Lucie County, FL",211.59999999999982,319525,St. Lucie County,Florida,FL,16059.0
"St. Martin Parish, LA",55.20000000000001,53173,St. Martin Parish,Louisiana,LA,5194.0
"St. Mary Parish, LA",82.79999999999998,49305,St. Mary Parish,Louisiana,LA,5194.0
"St. Mary's County, MD",87.39999999999998,110914,St. Mary's County,Maryland,MD,4427.0
"St. Tammany Parish, LA",202.39999999999984,257880,St. Tammany Parish,Louisiana,LA,5194.0
"Stafford County, KS",13.799999999999999,4178,Stafford County,Kansas,KS,962.0
"Stafford County, VA",128.79999999999993,148384,Stafford County,Virginia,VA,3466.0
"Stanislaus County, CA",437.0000000000007,547615,Stanislaus County,California,CA,16663.0
"Stanley County, SD",9.2,3022,Stanley County,South Dakota,SD,376.0
"Stanly County, NC",64.4,60948,Stanly County,North Carolina,NC,2731.0
"Stanton County, KS",9.2,1962,Stanton County,Kansas,KS,962.0
"Stanton County, NE",13.799999999999999,5970,Stanton County,Nebraska,NE,636.0
