ctname,rfgrp,popuni,stname,STABREV,state_deaths,county_name
"Dale County, AL",69.0,48874,Alabama,AL,3770.0,Dale County
"Dallam County, TX",13.799999999999999,7162,Texas,TX,17706.0,Dallam County
"Dallas County, AL",73.6,38067,Alabama,AL,3770.0,Dallas County
"Dallas County, AR",18.4,6888,Arkansas,AR,1622.0,Dallas County
"Dallas County, IA",73.6,90147,Iowa,IA,1638.0,Dallas County
"Dallas County, MO",18.4,16748,Missouri,MO,2814.0,Dallas County
"Dallas County, TX",2437.999999999976,2616875,Texas,TX,17706.0,Dallas County
"Dane County, WI",496.800000000001,532611,Wisconsin,WI,1675.0,Dane County
"Daniels County, MT",9.2,1747,Montana,MT,252.0,Daniels County
"Danville city, VA",78.19999999999999,39803,Virginia,VA,3466.0,Danville city
"Dare County, NC",55.20000000000001,36445,North Carolina,NC,2731.0,Dare County
"Darke County, OH",59.80000000000001,51285,Ohio,OH,4890.0,Darke County
"Darlington County, SC",78.19999999999999,66083,South Carolina,SC,3620.0,Darlington County
"Dauphin County, PA",303.6,275139,Pennsylvania,PA,8865.0,Dauphin County
"Davidson County, NC",160.9999999999999,166048,North Carolina,NC,2731.0,Davidson County
"Davidson County, TN",745.2000000000022,671574,Tennessee,TN,2959.0,Davidson County
"Davie County, NC",36.800000000000004,42691,North Carolina,NC,2731.0,Davie County
"Daviess County, IN",36.800000000000004,32956,Indiana,IN,4116.0,Daviess County
"Daviess County, KY",110.39999999999995,99743,Kentucky,KY,1492.0,Daviess County
"Daviess County, MO",13.799999999999999,8191,Missouri,MO,2814.0,Daviess County
"Davis County, IA",13.799999999999999,9017,Iowa,IA,1638.0,Davis County
"Davis County, UT",252.99999999999977,350777,Utah,UT,582.0,Davis County
"Davison County, SD",23.0,19320,South Dakota,SD,376.0,Davison County
"Dawes County, NE",13.799999999999999,8034,Nebraska,NE,636.0,Dawes County
"Dawson County, GA",18.4,24981,Georgia,GA,6746.0,Dawson County
"Dawson County, MT",18.4,8317,Montana,MT,252.0,Dawson County
"Dawson County, NE",36.800000000000004,23614,Nebraska,NE,636.0,Dawson County
"Dawson County, TX",23.0,11357,Texas,TX,17706.0,Dawson County
"Day County, SD",18.4,5494,South Dakota,SD,376.0,Day County
"De Kalb County, IN",46.00000000000001,43150,Indiana,IN,4116.0,De Kalb County
"De Soto Parish, LA",36.800000000000004,27338,Louisiana,LA,5194.0,De Soto Parish
"De Witt County, IL",27.6,15693,Illinois,IL,8459.0,De Witt County
"DeBaca County, NM",9.2,1772,New Mexico,NM,854.0,DeBaca County
"DeKalb County, AL",69.0,71177,Alabama,AL,3770.0,DeKalb County
"DeKalb County, GA",671.6000000000018,748373,Georgia,GA,6746.0,DeKalb County
"DeKalb County, IL",101.19999999999996,99206,Illinois,IL,8459.0,DeKalb County
"DeKalb County, MO",13.799999999999999,9344,Missouri,MO,2814.0,DeKalb County
"DeKalb County, TN",23.0,20007,Tennessee,TN,2959.0,DeKalb County
"DeSoto County, FL",46.00000000000001,34712,Florida,FL,16059.0,DeSoto County
"DeSoto County, MS",156.3999999999999,181752,Mississippi,MS,3124.0,DeSoto County
"DeWitt County, TX",27.6,18702,Texas,TX,17706.0,DeWitt County
"Deaf Smith County, TX",23.0,18680,Texas,TX,17706.0,Deaf Smith County
"Dearborn County, IN",50.60000000000001,49320,Indiana,IN,4116.0,Dearborn County
"Decatur County, GA",36.800000000000004,25776,Georgia,GA,6746.0,Decatur County
"Decatur County, IA",18.4,7294,Iowa,IA,1638.0,Decatur County
"Decatur County, IN",32.2,26736,Indiana,IN,4116.0,Decatur County
"Decatur County, KS",13.799999999999999,2869,Kansas,KS,962.0,Decatur County
"Decatur County, TN",23.0,11679,Tennessee,TN,2959.0,Decatur County
"Deer Lodge County, MT",18.4,8720,Montana,MT,252.0,Deer Lodge County
"Defiance County, OH",46.00000000000001,37760,Ohio,OH,4890.0,Defiance County
"Del Norte County, CA",41.400000000000006,24978,California,CA,16663.0,Del Norte County
"Delaware County, IA",23.0,17069,Iowa,IA,1638.0,Delaware County
"Delaware County, IN",142.5999999999999,107402,Indiana,IN,4116.0,Delaware County
"Delaware County, NY",69.0,42848,New York,NY,11847.0,Delaware County
"Delaware County, OH",165.59999999999988,203177,Ohio,OH,4890.0,Delaware County
"Delaware County, OK",46.00000000000001,42632,Oklahoma,OK,1418.0,Delaware County
"Delaware County, PA",667.0000000000018,548713,Pennsylvania,PA,8865.0,Delaware County
"Delta County, CO",36.800000000000004,30437,Colorado,CO,2094.0,Delta County
"Delta County, MI",64.4,35664,Michigan,MI,6581.0,Delta County
"Delta County, TX",13.799999999999999,5349,Texas,TX,17706.0,Delta County
"Denali Borough, AK",9.2,2059,Alaska,AK,55.0,Denali Borough
"Dent County, MO",23.0,15435,Missouri,MO,2814.0,Dent County
"Denton County, TX",634.8000000000017,850319,Texas,TX,17706.0,Denton County
"Denver County, CO",667.0000000000018,707129,Colorado,CO,2094.0,Denver County
"Des Moines County, IA",55.20000000000001,38984,Iowa,IA,1638.0,Des Moines County
"Deschutes County, OR",114.99999999999994,191435,Oregon,OR,596.0,Deschutes County
"Desha County, AR",27.6,11512,Arkansas,AR,1622.0,Desha County
"Deuel County, NE",9.2,1825,Nebraska,NE,636.0,Deuel County
"Deuel County, SD",13.799999999999999,4337,South Dakota,SD,376.0,Deuel County
"Dewey County, OK",18.4,4873,Oklahoma,OK,1418.0,Dewey County
"Dewey County, SD",13.799999999999999,5891,South Dakota,SD,376.0,Dewey County
"Dickens County, TX",9.2,1934,Texas,TX,17706.0,Dickens County
"Dickenson County, VA",23.0,14090,Virginia,VA,3466.0,Dickenson County
"Dickey County, ND",18.4,4827,North Dakota,ND,375.0,Dickey County
"Dickinson County, IA",27.6,17142,Iowa,IA,1638.0,Dickinson County
"Dickinson County, KS",32.2,18643,Kansas,KS,962.0,Dickinson County
"Dickinson County, MI",36.800000000000004,25307,Michigan,MI,6581.0,Dickinson County
"Dickson County, TN",50.60000000000001,53219,Tennessee,TN,2959.0,Dickson County
"Dillingham Census Area, AK",13.799999999999999,4998,Alaska,AK,55.0,Dillingham Census Area
"Dillon County, SC",32.2,30428,South Carolina,SC,3620.0,Dillon County
"Dimmit County, TX",13.799999999999999,10267,Texas,TX,17706.0,Dimmit County
"Dinwiddie County, VA",36.800000000000004,28322,Virginia,VA,3466.0,Dinwiddie County
"District of Columbia, DC",828.0000000000026,674513,District of Columbia,DC,783.0,District of Columbia
"Divide County, ND",9.2,2283,North Dakota,ND,375.0,Divide County
"Dixie County, FL",23.0,15001,Florida,FL,16059.0,Dixie County
"Dixon County, NE",13.799999999999999,5701,Nebraska,NE,636.0,Dixon County
"Doddridge County, WV",13.799999999999999,7487,West Virginia,WV,352.0,Doddridge County
"Dodge County, GA",32.2,19076,Georgia,GA,6746.0,Dodge County
"Dodge County, MN",27.6,20822,Minnesota,MN,2289.0,Dodge County
"Dodge County, NE",46.00000000000001,36119,Nebraska,NE,636.0,Dodge County
"Dodge County, WI",96.59999999999997,82625,Wisconsin,WI,1675.0,Dodge County
"Dolores County, CO",9.2,2074,Colorado,CO,2094.0,Dolores County
"Dona Ana County, NM",193.19999999999985,214055,New Mexico,NM,854.0,Dona Ana County
"Doniphan County, KS",18.4,7330,Kansas,KS,962.0,Doniphan County
"Donley County, TX",13.799999999999999,3098,Texas,TX,17706.0,Donley County
"Dooly County, GA",18.4,11900,Georgia,GA,6746.0,Dooly County
"Door County, WI",50.60000000000001,27535,Wisconsin,WI,1675.0,Door County
"Dorchester County, MD",50.60000000000001,31835,Maryland,MD,4427.0,Dorchester County
"Dorchester County, SC",119.59999999999994,159165,South Carolina,SC,3620.0,Dorchester County
"Dougherty County, GA",128.79999999999993,85695,Georgia,GA,6746.0,Dougherty County
"Douglas County, CO",285.19999999999993,342473,Colorado,CO,2094.0,Douglas County
"Douglas County, GA",96.59999999999997,144525,Georgia,GA,6746.0,Douglas County
"Douglas County, IL",27.6,19463,Illinois,IL,8459.0,Douglas County
"Douglas County, KS",105.79999999999995,113382,Kansas,KS,962.0,Douglas County
"Douglas County, MN",46.00000000000001,37901,Minnesota,MN,2289.0,Douglas County
"Douglas County, MO",18.4,13355,Missouri,MO,2814.0,Douglas County
"Douglas County, NE",722.2000000000021,558595,Nebraska,NE,636.0,Douglas County
"Douglas County, NV",82.79999999999998,48326,Nevada,NV,1625.0,Douglas County
"Douglas County, OR",110.39999999999995,110003,Oregon,OR,596.0,Douglas County
"Douglas County, SD",9.2,2935,South Dakota,SD,376.0,Douglas County
"Douglas County, WA",41.400000000000006,42895,Washington,WA,2056.0,Douglas County
"Douglas County, WI",64.4,42252,Wisconsin,WI,1675.0,Douglas County
"Drew County, AR",27.6,17665,Arkansas,AR,1622.0,Drew County
"DuPage County, IL",998.2000000000035,921446,Illinois,IL,8459.0,DuPage County
"Dubois County, IN",36.800000000000004,42405,Indiana,IN,4116.0,Dubois County
"Dubuque County, IA",124.19999999999993,94261,Iowa,IA,1638.0,Dubuque County
"Duchesne County, UT",18.4,19769,Utah,UT,582.0,Duchesne County
"Dukes County, MA",27.6,17293,Massachusetts,MA,8189.0,Dukes County
"Dundy County, NE",9.2,1770,Nebraska,NE,636.0,Dundy County
"Dunklin County, MO",50.60000000000001,29258,Missouri,MO,2814.0,Dunklin County
"Dunn County, ND",9.2,4332,North Dakota,ND,375.0,Dunn County
"Dunn County, WI",41.400000000000006,42291,Wisconsin,WI,1675.0,Dunn County
"Duplin County, NC",55.20000000000001,58856,North Carolina,NC,2731.0,Duplin County
"Durham County, NC",280.5999999999999,305428,North Carolina,NC,2731.0,Durham County
"Dutchess County, NY",368.00000000000034,279507,New York,NY,11847.0,Dutchess County
"Duval County, FL",805.0000000000025,940548,Florida,FL,16059.0,Duval County
"Duval County, TX",18.4,10611,Texas,TX,17706.0,Duval County
"Dyer County, TN",41.400000000000006,37131,Tennessee,TN,2959.0,Dyer County
"Eagle County, CO",69.0,54916,Colorado,CO,2094.0,Eagle County
"Early County, GA",27.6,10210,Georgia,GA,6746.0,Early County
"East Baton Rouge Parish, LA",427.80000000000064,433376,Louisiana,LA,5194.0,East Baton Rouge Parish
"East Carroll Parish, LA",18.4,5970,Louisiana,LA,5194.0,East Carroll Parish
"East Feliciana Parish, LA",27.6,17709,Louisiana,LA,5194.0,East Feliciana Parish
"Eastland County, TX",27.6,17757,Texas,TX,17706.0,Eastland County
"Eaton County, MI",133.39999999999992,108726,Michigan,MI,6581.0,Eaton County
"Eau Claire County, WI",96.59999999999997,100623,Wisconsin,WI,1675.0,Eau Claire County
"Echols County, GA",13.799999999999999,4000,Georgia,GA,6746.0,Echols County
"Ector County, TX",133.39999999999992,160025,Texas,TX,17706.0,Ector County
"Eddy County, ND",9.2,2313,North Dakota,ND,375.0,Eddy County
"Eddy County, NM",59.80000000000001,57646,New Mexico,NM,854.0,Eddy County
"Edgar County, IL",27.6,17327,Illinois,IL,8459.0,Edgar County
"Edgecombe County, NC",69.0,51663,North Carolina,NC,2731.0,Edgecombe County
"Edgefield County, SC",32.2,24451,South Carolina,SC,3620.0,Edgefield County
"Edmonson County, KY",23.0,12271,Kentucky,KY,1492.0,Edmonson County
"Edmunds County, SD",13.799999999999999,3867,South Dakota,SD,376.0,Edmunds County
"Edwards County, IL",18.4,6392,Illinois,IL,8459.0,Edwards County
"Edwards County, KS",13.799999999999999,2844,Kansas,KS,962.0,Edwards County
"Edwards County, TX",9.2,1923,Texas,TX,17706.0,Edwards County
"Effingham County, GA",50.60000000000001,61691,Georgia,GA,6746.0,Effingham County
"Effingham County, IL",41.400000000000006,34142,Illinois,IL,8459.0,Effingham County
"El Dorado County, CA",202.39999999999984,190157,California,CA,16663.0,El Dorado County
"El Paso County, CO",602.6000000000015,707807,Colorado,CO,2094.0,El Paso County
"El Paso County, TX",745.2000000000022,833477,Texas,TX,17706.0,El Paso County
"Elbert County, CO",36.800000000000004,26247,Colorado,CO,2094.0,Elbert County
"Elbert County, GA",27.6,19020,Georgia,GA,6746.0,Elbert County
"Elk County, KS",9.2,2502,Kansas,KS,962.0,Elk County
"Elk County, PA",46.00000000000001,30118,Pennsylvania,PA,8865.0,Elk County
"Elkhart County, IN",170.19999999999987,203899,Indiana,IN,4116.0,Elkhart County
"Elko County, NV",69.0,51912,Nevada,NV,1625.0,Elko County
"Elliott County, KY",13.799999999999999,6539,Kentucky,KY,1492.0,Elliott County
"Ellis County, KS",32.2,27939,Kansas,KS,962.0,Ellis County
"Ellis County, OK",13.799999999999999,3947,Oklahoma,OK,1418.0,Ellis County
"Ellis County, TX",147.1999999999999,178609,Texas,TX,17706.0,Ellis County
"Ellsworth County, KS",13.799999999999999,5329,Kansas,KS,962.0,Ellsworth County
"Elmore County, AL",73.6,77316,Alabama,AL,3770.0,Elmore County
"Elmore County, ID",27.6,27122,Idaho,ID,571.0,Elmore County
"Emanuel County, GA",32.2,21641,Georgia,GA,6746.0,Emanuel County
"Emery County, UT",18.4,10014,Utah,UT,582.0,Emery County
"Emmet County, IA",23.0,9002,Iowa,IA,1638.0,Emmet County
"Emmet County, MI",46.00000000000001,33134,Michigan,MI,6581.0,Emmet County
"Emmons County, ND",9.2,3295,North Dakota,ND,375.0,Emmons County
"Emporia city, VA",13.799999999999999,5121,Virginia,VA,3466.0,Emporia city
"Erath County, TX",41.400000000000006,38966,Texas,TX,17706.0,Erath County
"Erie County, NY",1094.8000000000022,902370,New York,NY,11847.0,Erie County
"Erie County, OH",91.99999999999997,74471,Ohio,OH,4890.0,Erie County
"Erie County, PA",335.8000000000002,263229,Pennsylvania,PA,8865.0,Erie County
"Escambia County, AL",46.00000000000001,34211,Alabama,AL,3770.0,Escambia County
"Escambia County, FL",335.8000000000002,306743,Florida,FL,16059.0,Escambia County
"Esmeralda County, NV",9.2,825,Nevada,NV,1625.0,Esmeralda County
"Essex County, MA",754.4000000000023,779973,Massachusetts,MA,8189.0,Essex County
"Essex County, NJ",970.6000000000033,787564,New Jersey,NJ,14511.0,Essex County
"Essex County, NY",64.4,35829,New York,NY,11847.0,Essex County
"Essex County, VA",18.4,10919,Virginia,VA,3466.0,Essex County
"Essex County, VT",18.4,6250,Vermont,VT,62.0,Essex County
"Estill County, KY",23.0,14166,Kentucky,KY,1492.0,Estill County
"Etowah County, AL",142.5999999999999,101283,Alabama,AL,3770.0,Etowah County
"Eureka County, NV",9.2,2002,Nevada,NV,1625.0,Eureka County
"Evangeline Parish, LA",41.400000000000006,32382,Louisiana,LA,5194.0,Evangeline Parish
"Evans County, GA",18.4,10320,Georgia,GA,6746.0,Evans County
"Fairbanks North Star Borough, AK",91.99999999999997,97612,Alaska,AK,55.0,Fairbanks North Star Borough
"Fairfax County, VA",1191.4000000000003,1143597,Virginia,VA,3466.0,Fairfax County
"Fairfax city, VA",27.6,24455,Virginia,VA,3466.0,Fairfax city
"Fairfield County, CT",975.2000000000033,932617,Connecticut,CT,4492.0,Fairfield County
"Fairfield County, OH",133.39999999999992,153899,Ohio,OH,4890.0,Fairfield County
"Fairfield County, SC",27.6,22330,South Carolina,SC,3620.0,Fairfield County
"Fall River County, SD",13.799999999999999,6715,South Dakota,SD,376.0,Fall River County
"Fallon County, MT",9.2,2917,Montana,MT,252.0,Fallon County
"Falls Church city, VA",18.4,14764,Virginia,VA,3466.0,Falls Church city
"Falls County, TX",32.2,15442,Texas,TX,17706.0,Falls County
"Fannin County, GA",27.6,25892,Georgia,GA,6746.0,Fannin County
"Fannin County, TX",46.00000000000001,32874,Texas,TX,17706.0,Fannin County
"Faribault County, MN",32.2,13659,Minnesota,MN,2289.0,Faribault County
"Faulk County, SD",9.2,2328,South Dakota,SD,376.0,Faulk County
"Faulkner County, AR",119.59999999999994,121129,Arkansas,AR,1622.0,Faulkner County
"Fauquier County, VA",82.79999999999998,70579,Virginia,VA,3466.0,Fauquier County
"Fayette County, AL",27.6,16328,Alabama,AL,3770.0,Fayette County
"Fayette County, GA",96.59999999999997,113233,Georgia,GA,6746.0,Fayette County
"Fayette County, IA",36.800000000000004,19206,Iowa,IA,1638.0,Fayette County
"Fayette County, IL",36.800000000000004,20022,Illinois,IL,8459.0,Fayette County
"Fayette County, IN",36.800000000000004,22997,Indiana,IN,4116.0,Fayette County
"Fayette County, KY",381.8000000000004,313169,Kentucky,KY,1492.0,Fayette County
"Fayette County, OH",36.800000000000004,28632,Ohio,OH,4890.0,Fayette County
"Fayette County, PA",170.19999999999987,128111,Pennsylvania,PA,8865.0,Fayette County
"Fayette County, TN",55.20000000000001,40289,Tennessee,TN,2959.0,Fayette County
"Fayette County, TX",36.800000000000004,25316,Texas,TX,17706.0,Fayette County
"Fayette County, WV",59.80000000000001,41623,West Virginia,WV,352.0,Fayette County
"Fentress County, TN",23.0,18185,Tennessee,TN,2959.0,Fentress County
"Fergus County, MT",13.799999999999999,11014,Montana,MT,252.0,Fergus County
"Ferry County, WA",18.4,7625,Washington,WA,2056.0,Ferry County
"Fillmore County, MN",32.2,21029,Minnesota,MN,2289.0,Fillmore County
"Fillmore County, NE",13.799999999999999,5429,Nebraska,NE,636.0,Fillmore County
"Finney County, KS",59.80000000000001,36213,Kansas,KS,962.0,Finney County
"Fisher County, TX",13.799999999999999,3829,Texas,TX,17706.0,Fisher County
"Flagler County, FL",101.19999999999996,111765,Florida,FL,16059.0,Flagler County
"Flathead County, MT",91.99999999999997,101780,Montana,MT,252.0,Flathead County
"Fleming County, KY",23.0,14432,Kentucky,KY,1492.0,Fleming County
"Florence County, SC",156.3999999999999,136327,South Carolina,SC,3620.0,Florence County
"Florence County, WI",13.799999999999999,4321,Wisconsin,WI,1675.0,Florence County
"Floyd County, GA",96.59999999999997,95044,Georgia,GA,6746.0,Floyd County
"Floyd County, IA",27.6,15719,Iowa,IA,1638.0,Floyd County
"Floyd County, IN",96.59999999999997,77320,Indiana,IN,4116.0,Floyd County
"Floyd County, KY",50.60000000000001,35704,Kentucky,KY,1492.0,Floyd County
"Floyd County, TX",13.799999999999999,5837,Texas,TX,17706.0,Floyd County
"Floyd County, VA",18.4,15795,Virginia,VA,3466.0,Floyd County
"Fluvanna County, VA",23.0,25585,Virginia,VA,3466.0,Fluvanna County
"Foard County, TX",9.2,1200,Texas,TX,17706.0,Foard County
"Fond du Lac County, WI",96.59999999999997,100812,Wisconsin,WI,1675.0,Fond du Lac County
"Ford County, IL",27.6,13221,Illinois,IL,8459.0,Ford County
"Ford County, KS",36.800000000000004,33547,Kansas,KS,962.0,Ford County
"Forest County, PA",18.4,4739,Pennsylvania,PA,8865.0,Forest County
"Forest County, WI",23.0,8915,Wisconsin,WI,1675.0,Forest County
"Forrest County, MS",82.79999999999998,72909,Mississippi,MS,3124.0,Forrest County
"Forsyth County, GA",211.59999999999982,236314,Georgia,GA,6746.0,Forsyth County
"Forsyth County, NC",432.40000000000066,370613,North Carolina,NC,2731.0,Forsyth County
"Fort Bend County, TX",354.2000000000003,784204,Texas,TX,17706.0,Fort Bend County
"Foster County, ND",9.2,3216,North Dakota,ND,375.0,Foster County
"Fountain County, IN",27.6,16330,Indiana,IN,4116.0,Fountain County
"Franklin County, AL",46.00000000000001,31275,Alabama,AL,3770.0,Franklin County
"Franklin County, AR",18.4,17801,Arkansas,AR,1622.0,Franklin County
"Franklin County, FL",32.2,10339,Florida,FL,16059.0,Franklin County
"Franklin County, GA",27.6,22397,Georgia,GA,6746.0,Franklin County
"Franklin County, IA",18.4,10124,Iowa,IA,1638.0,Franklin County
"Franklin County, ID",13.799999999999999,13713,Idaho,ID,571.0,Franklin County
"Franklin County, IL",59.80000000000001,38623,Illinois,IL,8459.0,Franklin County
"Franklin County, IN",27.6,22736,Indiana,IN,4116.0,Franklin County
"Franklin County, KS",27.6,25279,Kansas,KS,962.0,Franklin County
"Franklin County, KY",55.20000000000001,49564,Kentucky,KY,1492.0,Franklin County
"Franklin County, MA",87.39999999999998,70673,Massachusetts,MA,8189.0,Franklin County
"Franklin County, ME",46.00000000000001,29000,Maine,ME,168.0,Franklin County
"Franklin County, MO",82.79999999999998,103562,Missouri,MO,2814.0,Franklin County
"Franklin County, MS",13.799999999999999,7778,Mississippi,MS,3124.0,Franklin County
"Franklin County, NC",59.80000000000001,66458,North Carolina,NC,2731.0,Franklin County
"Franklin County, NE",13.799999999999999,3022,Nebraska,NE,636.0,Franklin County
"Franklin County, NY",69.0,44750,New York,NY,11847.0,Franklin County
"Franklin County, OH",1310.999999999998,1287783,Ohio,OH,4890.0,Franklin County
"Franklin County, PA",128.79999999999993,154027,Pennsylvania,PA,8865.0,Franklin County
"Franklin County, TN",46.00000000000001,40050,Tennessee,TN,2959.0,Franklin County
"Franklin County, TX",18.4,10737,Texas,TX,17706.0,Franklin County
"Franklin County, VA",50.60000000000001,55403,Virginia,VA,3466.0,Franklin County
"Franklin County, VT",50.60000000000001,49237,Vermont,VT,62.0,Franklin County
"Franklin County, WA",64.4,91663,Washington,WA,2056.0,Franklin County
"Franklin Parish, LA",32.2,19805,Louisiana,LA,5194.0,Franklin Parish
"Franklin city, VA",13.799999999999999,8011,Virginia,VA,3466.0,Franklin city
"Frederick County, MD",285.19999999999993,253116,Maryland,MD,4427.0,Frederick County
"Frederick County, VA",69.0,87433,Virginia,VA,3466.0,Frederick County
"Fredericksburg city, VA",32.2,26723,Virginia,VA,3466.0,Fredericksburg city
"Freeborn County, MN",50.60000000000001,30318,Minnesota,MN,2289.0,Freeborn County
"Freestone County, TX",36.800000000000004,18401,Texas,TX,17706.0,Freestone County
"Fremont County, CO",69.0,40090,Colorado,CO,2094.0,Fremont County
"Fremont County, IA",18.4,6986,Iowa,IA,1638.0,Fremont County
"Fremont County, ID",18.4,12751,Idaho,ID,571.0,Fremont County
"Fremont County, WY",50.60000000000001,38890,Wyoming,WY,59.0,Fremont County
"Fresno County, CA",920.0000000000031,984600,California,CA,16663.0,Fresno County
"Frio County, TX",18.4,16565,Texas,TX,17706.0,Frio County
"Frontier County, NE",9.2,2495,Nebraska,NE,636.0,Frontier County
"Fulton County, AR",13.799999999999999,12262,Arkansas,AR,1622.0,Fulton County
"Fulton County, GA",943.0000000000032,1023570,Georgia,GA,6746.0,Fulton County
"Fulton County, IL",59.80000000000001,32703,Illinois,IL,8459.0,Fulton County
"Fulton County, IN",32.2,20021,Indiana,IN,4116.0,Fulton County
"Fulton County, KY",13.799999999999999,5732,Kentucky,KY,1492.0,Fulton County
"Fulton County, NY",73.6,53069,New York,NY,11847.0,Fulton County
"Fulton County, OH",46.00000000000001,42276,Ohio,OH,4890.0,Fulton County
"Fulton County, PA",18.4,14413,Pennsylvania,PA,8865.0,Fulton County
"Furnas County, NE",9.2,4713,Nebraska,NE,636.0,Furnas County
"Gadsden County, FL",46.00000000000001,43611,Florida,FL,16059.0,Gadsden County
"Gage County, NE",36.800000000000004,21464,Nebraska,NE,636.0,Gage County
"Gaines County, TX",18.4,20881,Texas,TX,17706.0,Gaines County
"Galax city, VA",13.799999999999999,6423,Virginia,VA,3466.0,Galax city
"Gallatin County, IL",13.799999999999999,5058,Illinois,IL,8459.0,Gallatin County
"Gallatin County, KY",13.799999999999999,8832,Kentucky,KY,1492.0,Gallatin County
"Gallatin County, MT",105.79999999999995,108969,Montana,MT,252.0,Gallatin County
"Gallia County, OH",36.800000000000004,29653,Ohio,OH,4890.0,Gallia County
"Galveston County, TX",312.80000000000007,334616,Texas,TX,17706.0,Galveston County
"Garden County, NE",9.2,1897,Nebraska,NE,636.0,Garden County
"Garfield County, CO",55.20000000000001,59297,Colorado,CO,2094.0,Garfield County
"Garfield County, MT",9.2,1268,Montana,MT,252.0,Garfield County
"Garfield County, NE",9.2,1987,Nebraska,NE,636.0,Garfield County
"Garfield County, OK",59.80000000000001,60365,Oklahoma,OK,1418.0,Garfield County
"Garfield County, UT",13.799999999999999,4933,Utah,UT,582.0,Garfield County
"Garfield County, WA",9.2,2247,Washington,WA,2056.0,Garfield County
"Garland County, AR",96.59999999999997,98638,Arkansas,AR,1622.0,Garland County
"Garrard County, KY",23.0,17560,Kentucky,KY,1492.0,Garrard County
"Garrett County, MD",36.800000000000004,28975,Maryland,MD,4427.0,Garrett County
"Garvin County, OK",46.00000000000001,27644,Oklahoma,OK,1418.0,Garvin County
"Garza County, TX",9.2,4501,Texas,TX,17706.0,Garza County
"Gasconade County, MO",27.6,14705,Missouri,MO,2814.0,Gasconade County
"Gaston County, NC",303.6,221396,North Carolina,NC,2731.0,Gaston County
"Gates County, NC",18.4,11573,North Carolina,NC,2731.0,Gates County
"Geary County, KS",41.400000000000006,32457,Kansas,KS,962.0,Geary County
"Geauga County, OH",101.19999999999996,93973,Ohio,OH,4890.0,Geauga County
"Gem County, ID",18.4,17581,Idaho,ID,571.0,Gem County
"Genesee County, MI",607.2000000000015,404723,Michigan,MI,6581.0,Genesee County
"Genesee County, NY",73.6,56387,New York,NY,11847.0,Genesee County
"Geneva County, AL",32.2,26261,Alabama,AL,3770.0,Geneva County
"Gentry County, MO",13.799999999999999,6622,Missouri,MO,2814.0,Gentry County
"George County, MS",27.6,23706,Mississippi,MS,3124.0,George County
"Georgetown County, SC",73.6,61979,South Carolina,SC,3620.0,Georgetown County
"Gibson County, IN",36.800000000000004,33080,Indiana,IN,4116.0,Gibson County
"Gibson County, TN",69.0,48877,Tennessee,TN,2959.0,Gibson County
"Gila County, AZ",78.19999999999999,53495,Arizona,AZ,5227.0,Gila County
"Gilchrist County, FL",27.6,17268,Florida,FL,16059.0,Gilchrist County
"Giles County, TN",41.400000000000006,29103,Tennessee,TN,2959.0,Giles County
"Giles County, VA",23.0,16844,Virginia,VA,3466.0,Giles County
"Gillespie County, TX",27.6,26798,Texas,TX,17706.0,Gillespie County
"Gilliam County, OR",9.2,1894,Oregon,OR,596.0,Gilliam County
"Gilmer County, GA",27.6,30816,Georgia,GA,6746.0,Gilmer County
"Gilmer County, WV",13.799999999999999,6222,West Virginia,WV,352.0,Gilmer County
"Gilpin County, CO",9.2,6090,Colorado,CO,2094.0,Gilpin County
"Glacier County, MT",23.0,13714,Montana,MT,252.0,Glacier County
"Glades County, FL",23.0,12264,Florida,FL,16059.0,Glades County
"Gladwin County, MI",46.00000000000001,25271,Michigan,MI,6581.0,Gladwin County
"Glascock County, GA",9.2,2995,Georgia,GA,6746.0,Glascock County
"Glasscock County, TX",9.2,1388,Texas,TX,17706.0,Glasscock County
"Glenn County, CA",32.2,27834,California,CA,16663.0,Glenn County
"Gloucester County, NJ",294.4,288903,New Jersey,NJ,14511.0,Gloucester County
"Gloucester County, VA",41.400000000000006,37349,Virginia,VA,3466.0,Gloucester County
"Glynn County, GA",78.19999999999999,84506,Georgia,GA,6746.0,Glynn County
"Gogebic County, MI",41.400000000000006,14052,Michigan,MI,6581.0,Gogebic County
"Golden Valley County, MT",9.2,826,Montana,MT,252.0,Golden Valley County
"Golden Valley County, ND",9.2,1717,North Dakota,ND,375.0,Golden Valley County
"Goliad County, TX",13.799999999999999,7545,Texas,TX,17706.0,Goliad County
"Gonzales County, TX",32.2,20709,Texas,TX,17706.0,Gonzales County
"Goochland County, VA",27.6,22336,Virginia,VA,3466.0,Goochland County
"Goodhue County, MN",50.60000000000001,46240,Minnesota,MN,2289.0,Goodhue County
"Gooding County, ID",13.799999999999999,15153,Idaho,ID,571.0,Gooding County
"Gordon County, GA",46.00000000000001,57249,Georgia,GA,6746.0,Gordon County
"Goshen County, WY",23.0,12299,Wyoming,WY,59.0,Goshen County
"Gosper County, NE",9.2,1996,Nebraska,NE,636.0,Gosper County
"Gove County, KS",13.799999999999999,2604,Kansas,KS,962.0,Gove County
"Grady County, GA",32.2,24662,Georgia,GA,6746.0,Grady County
"Grady County, OK",50.60000000000001,54785,Oklahoma,OK,1418.0,Grady County
"Grafton County, NH",91.99999999999997,83628,New Hampshire,NH,452.0,Grafton County
